ADI,TRECHO
Rua Altamiro Barcelos Dutra,Intersecção com a Rodovia João Gualberto Soares até a intersecção com Travessa Valmor Luiz Flores (Travessa Flores)
Travessa Valmor Luiz Flores (Travessa Flores),Toda sua extensão
Rua 5 Loteamento Cidade da Barra,Toda a sua extensão
Avenida Cidade de Córdoba,Intersecção com a Rua 5 Loteamento Cidade de Córdoba até a intersecção com a Rua Prof. Ademir Francisco
Rua Prof. Ademir Francisco,Toda sua extensão
Rua Altamiro Barcelos Dutra,Intersecção com a Rua Júlio José Gonçalves até a Rua Angelina Joaquina dos Santos
Rua angelina Joaquina dos Santos,Da Rua Altamiro Barcelos Dutra até a intersecção com a Rua Dorvalina Carolina Florindo
Rua Júlio José Gonçalves,Intersecção com a Rua 5 Loteamento Cidade de Córdoba até a intersecção com a Rua Altamiro Barcelos Dutra
Rua Inelzyr Bauer Bertoli,Toda sua extensão
Rua Des Ivo Guilhon Pereira de Mello,Toda sua extensão implantada
SCI-602 (Projetada),Da Rua Des Ivo Guilhon Pereira de Mello até a intersecção com a Rua Altamiro Barcelos Dutra
Rua Dorvalina Carolina Florindo,Intersecção com a Rua Angelina Joaquina dos Santos até a intersecção com a Rua Altamiro Barcelos Dutra
Rua Altamiro Barcelos Dutra,Intersecção com a Rua Angelina Joaquina dos Santos até a Rua Prof. Abelardo de Souza
Rua Orlando Chaplin,Toda a sua extensão
Rua Amaro Coelho,Intersecção entre a Rua Prof Abelardo Souza até a intersecção com a Rua Orlando Chaplin
Rodovia João Gualberto Soares,Intersecção com a Rua Altamiro Barcelos Dutra até a intersecção com a Travessa Valmor Luiz Flores
Rodovia Armando Calil Bulos (SC-403),"Das coordenadas 27°27'01.7""S 48°26'22.2""W até as coordenadas 27°26'37.3""S 48°25'08.9""W"
Rua Gustavo Zimmer,Intersecção com a Rua B Loteamento Portal do Norte até a intersecção com a Via Marginal Rodovia Armando Calil Bulos (SC-403)
Rua B Loteamento Portal do Norte,Intersecção com a Rodovia Armando Calil Bulos (SC-403) até a intersecção com a Rua Gustavo Zimmer
Rua Leonel Pereira,Intersecção com a Avenida Luiz Boiteux Piazza até a intersecção com a Rua do Progresso
Servidão Pacífico,Toda sua extensão
Servidão Pacífico,Intersecção com a Servidão Pacífico até a intersecção com a Rua Maurício Sílvio Raulino
Rua Maurício Sílvio Raulino,Intersecção com a Servidão Pacífico até a intersecção com a Servidão Horizonte
Rua Maurício Sílvio Raulino,Intersecção com a Avenida Luiz Boiteux Piazza até a intersecção com a Rua Maurício Sílvio Raulino
Avenida dos Jerivás,Intersecção da Rua Leonel Pereira até a intersecção com a Servidão Pacífico
Rua Francisco Faustino Martins,Toda sua extensão
Rodovia Armando Calil Bulos,"Intersecção com a Rodovia José Carlos Daux (SC-401) até as coordenadas 27°27'01.7""S 48°26'22.2""W"
Estrada Cristóvão Machado de Campos,Da Travessa Olindina Vieira dos Santos até a intersecção com a Servidão do Forte
Travessa Olindina Vieira dos Santos,Intersecção com a Rua Francisco Fausto Martins até a Estrada Cristóvão Machado de Campos
Servidão Valdomiro José Vieira,Intersecção com a Rua Laureno até a intersecção com a SCI-831 (via projetada)
Servidão Valdomiro José Vieira,Intersecção com a Avenida Pequeno Príncipe até a intersecção com a Servidão Arnaldo Alegre
Avenida Pequeno Príncipe,Intersecção com a Rodovia Francisco Magno Vieira (SC-405) até a intersecção com a Rua das Corticeiras
Rua da Capela,Toda sua extensão
Rua Francisco Viêira,Intersecção com a Rodovia Francisco Thomaz dos Santos (SC-406) até a intersecção com a Rua Jardim dos Eucaliptos
Servidão Canto do Tucano,Toda sua extensão
SCI-831 (Projetada),Intersecção com a Rodovia Francisco Magno Vieira (SC-405) até a Servidão Canto do Tucano
Avenida Campeche,Toda sua extensão
Rua Jardim dos Eucaliptos,Toda sua extensão
CI-809 (Projetada),Intersecção com a Rodovia Francisco Magno Vieira (SC-405) até a Rua Camarinhas
CI-809 (Projetada),Intersecção com a Rua Nossa Sra. de Fátima até a intersecção com a Rua Bacupari
Rua José João Viêira,Toda sua extensão
